path	head	branch	availability	working_tree_state	classification	reason	recovery_path
/Users/gongtengxinwen/Documents/sub2api搭建	a41c33d0910a03a41607809033944653d7f9d8fb	main	readable	dirty	protected-main	Protected: active threads 新建运营界面 and 优化账号卡片 share this main checkout; not a recovery source.	-
/private/tmp/sub2api-auth-boundary-release	9fc94d94e3467dbf021cd115b950ad9f66b0cd08	DETACHED	readable	clean	eligible-consolidation	Detached, readable non-main release worktree.	-
/private/tmp/sub2api-monitor-release.DzXKrU	d4fb5e4a4b058f292a9df9f2c44d8bf01abfbe5f	DETACHED	unavailable	unknown	unavailable-prunable	git worktree reports prunable: gitdir points to a non-existent location.	-
/private/tmp/sub2api-release-513fee50c	513fee50c28295f91d08fa73352fa4bc937fef9a	DETACHED	readable	clean	eligible-consolidation	Detached, readable non-main release worktree.	-
/private/tmp/sub2api-release-njYlCa	5fb8da2655bd5540a2526c486cac5f8f3c0c6c6e	DETACHED	readable	dirty	eligible-consolidation	Detached, readable non-main release worktree with recovery snapshot.	.superpowers/sdd/2026-08-08-worktree-consolidation/recovery/private-tmp-sub2api-release-njYlCa
/private/tmp/sub2api-release.DTihqC	d75eaf1de5911887bb2738c8527cb1cb28b58361	DETACHED	readable	clean	eligible-consolidation	Detached, readable non-main release worktree.	-
/Users/gongtengxinwen/.codex/worktrees/37bc/sub2api搭建	ce97263b648538c2db6722c63deeeaa69ed65002	DETACHED	readable	clean	eligible-consolidation	Detached, readable non-main Codex worktree.	-
/Users/gongtengxinwen/.codex/worktrees/sub2api-monitor-reliability	0fce0bf44529ca597898f18a5ed620a015c95dc0	codex/fix-monitor-reliability	readable	dirty	eligible-consolidation	Readable non-main worktree with recovery snapshot.	.superpowers/sdd/2026-08-08-worktree-consolidation/recovery/codex-worktrees-sub2api-monitor-reliability
/Users/gongtengxinwen/Documents/sub2api-delivery-coordination	138d26efaf62a617ddfcc138c55f12d22fa9da37	codex/delivery-coordination	readable	clean	eligible-consolidation	Readable non-main worktree.	-
/Users/gongtengxinwen/Documents/sub2api-native-alert-feishu	a36ee576af810cdee2e83a418d6c553351a1b6e2	feat/native-alert-feishu	readable	clean	eligible-consolidation	Readable non-main worktree.	-
/Users/gongtengxinwen/Documents/sub2api搭建/.worktrees/account	500320a2e17d4e3a1d4cbcf707953f3cb6226e99	codex/account	readable	dirty	eligible-consolidation	Readable non-main worktree with recovery snapshot.	.superpowers/sdd/2026-08-08-worktree-consolidation/recovery/project-worktrees-account
/Users/gongtengxinwen/Documents/sub2api搭建/.worktrees/account-finish	2ec6d276cdf9844f5b1315957ad63c4202f9f84a	codex/account-finish	readable	clean	eligible-consolidation	Readable non-main worktree.	-
/Users/gongtengxinwen/Documents/sub2api搭建/.worktrees/account-monitor-completion	69caeaf816e3e01f9e0c6059c3c5262a4a12c2f6	codex/production-baseline-convergence	readable	clean	eligible-consolidation	Readable non-main worktree.	-
/Users/gongtengxinwen/Documents/sub2api搭建/.worktrees/account-monitor-cost-balance	30e09361e322ad7a8baebef05077fa69d51d1f29	codex/account-monitor-cost-balance	readable	clean	eligible-consolidation	Readable non-main worktree.	-
/Users/gongtengxinwen/Documents/sub2api搭建/.worktrees/account-monitor-cost-balance-implementation	131783eff0bf574c85392a8929d5db7f051d3b0e	codex/account-monitor-cost-balance-implementation	readable	clean	eligible-consolidation	Readable non-main worktree.	-
/Users/gongtengxinwen/Documents/sub2api搭建/.worktrees/account-monitor-equivalent-cost	68bf76a55376266829f2c7003af56293c9ca2c39	codex/account-monitor-equivalent-cost	readable	clean	eligible-consolidation	Readable non-main worktree.	-
/Users/gongtengxinwen/Documents/sub2api搭建/.worktrees/account-rate-multiplier-sync	7664741013b753ab98d6a93692bebcec45e3e2c8	codex/account-rate-multiplier-sync	readable	clean	eligible-consolidation	Readable non-main worktree.	-
/Users/gongtengxinwen/Documents/sub2api搭建/.worktrees/accounting-ledger	111a1df04b0edd51a6faf3f26c11f22dfa64a209	codex/accounting-ledger	readable	clean	eligible-consolidation	Readable non-main worktree.	-
/Users/gongtengxinwen/Documents/sub2api搭建/.worktrees/codex-monitor-card-simplification	fd3908b88d02f051bb3c542831fe3d87c3d6008a	codex/monitor-card-simplification	readable	clean	eligible-consolidation	Readable non-main worktree.	-
/Users/gongtengxinwen/Documents/sub2api搭建/.worktrees/command-driven-blue-green-deployment	dd0fa71eee240b576417572f41c142368345e195	codex/command-driven-blue-green-deployment	readable	clean	eligible-consolidation	Readable non-main worktree.	-
/Users/gongtengxinwen/Documents/sub2api搭建/.worktrees/fix-sub2api-0171-release	b4da0abc5a3d9b6a34b54b2748c65e2ba56a6999	fix/sub2api-0171-release	readable	clean	eligible-consolidation	Readable non-main worktree.	-
/Users/gongtengxinwen/Documents/sub2api搭建/.worktrees/relay-auth-fix	fca5d454a0609c71630d64dfd3b930550a20d17a	codex/fix-relay-admin-auth	readable	clean	eligible-consolidation	Readable non-main worktree.	-
/Users/gongtengxinwen/Documents/sub2api搭建/.worktrees/update-status-progress	83fe5e6635cac857d985c06230238f1c15f2b4c0	codex/update-status-progress	readable	clean	eligible-consolidation	Readable non-main worktree.	-
/Users/gongtengxinwen/Documents/sub2api搭建/.worktrees/worktree-consolidation-20260808	b6dc65dbe0094129ff773a66a672b111e3211d74	codex/worktree-consolidation-20260808	readable	dirty	consolidation-target	Current isolated target worktree; operation artifacts are committed on this branch, so it is not a non-main source and is intentionally exempt from recursive recovery capture.	-
